slug,provider,actionButtons,plan,nodeType,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,address
onfinality-free-full-archive,OnFinality,"[""[Website](https://onfinality.io/)"",""[Docs](https://documentation.onfinality.io/support/)""]",Free,Full Archive,$0,$0,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""Network native APIs"",""Trace API""]","[""400K API daily limit"",""40 response units/sec""]","[""DDoS Protection"",""IP Protection""]","[""Requests count monitoring"",""Response time monitoring"",""Geographical monitoring"",""Per method monitoring""]","[""N.Virginia"",""Ireland"",""Tokyo"",""Frankfurt""]",
onfinality-pay-as-you-go-full-archive,OnFinality,"[""[Buy](https://onfinality.io/en/pricing)"",""[Docs](https://documentation.onfinality.io/)""]",Pay-as-you-go,Full Archive,$49/$249,$3.75/$6/1M extra units,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""Network native APIs"",""Trace API""]","[""20M/100M API response units"",""200/500 response units/sec""]","[""DDoS Protection"",""IP Protection""]","[""Requests count monitoring"",""Response time monitoring"",""Geographical monitoring"",""Per method monitoring""]","[""N.Virginia"",""Ireland"",""Tokyo"",""Frankfurt""]",
onfinality-enterprise-full-archive,OnFinality,"[""[Contact](https://onfinality.io/pricing)"",""[Docs](https://documentation.onfinality.io/)""]",Enterprise,Full Archive,Custom,Custom,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""Network native APIs"",""Trace API""]","[""Unlimited response units"",""Custom limits""]","[""DDoS Protection"",""IP Protection""]","[""Requests count monitoring"",""Response time monitoring"",""Geographical monitoring"",""Per method monitoring""]","[""N.Virginia"",""Ireland"",""Tokyo"",""Frankfurt""]",
publicnode-public-recent-state,PublicNode,"[""[Website](https://publicnode.com/)""]",Public,Recent-State,$0,$0,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]",,"[""DDoS Protection"", ""Privacy-relays""]","[""Tracking key"",""Node health metrics"",""Advanced monitoring"",""Custom metrics""]","[""Global""]",
quicknode-enterprise-full-archive,Quicknode,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",Enterprise,Full Archive,Custom,Custom,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""Custom limits"",""Unlimited endpoints""]","[""DDoS Protection"",""IP Protection"",""Privacy preserving""]","[""Advanced analytics"",""Console API (Prometheus/Grafana)"",""Custom alerting & engineering support""]","[""Global""]",
quicknode-enterprise-recent-state,Quicknode,"[""[Contact](https://www.quicknode.com/contact-us?inquiry_topic=Enterprise%20Plan%20Upgrade)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",Enterprise,Recent-State,Custom,Custom,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""Custom limits"",""Unlimited endpoints""]","[""DDoS Protection"",""IP Protection"",""Privacy preserving""]","[""Advanced analytics"",""Console API (Prometheus/Grafana)"",""Custom alerting & engineering support""]","[""Global""]",
quicknode-pay-as-you-go-recent-state,Quicknode,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",Pay-as-you-go,Recent-State,"$49/$249/$499/$999/mo (monthly plan), $42/$212/$424$/$849/mo (yearly plan)",$0.62/$0.55/$0.53/$0.5 per 1M extra API credits,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""80M/450M/950M/2B API credits"",""10/20/50 endpoints"",""50/125/250/500 reqs/sec""]","[""DDoS Protection"",""IP Protection"",""Privacy preserving"",""SAML SSO""]","[""Usage analytics"",""Custom dashboards"",""Alerts & endpoints monitoring"",""Advanced analytics""]","[""Global""]",
quicknode-pay-as-you-go-full-archive,Quicknode,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",Pay-as-you-go,Full Archive,"$49/$249/$499/$999/mo (monthly plan), $42/$212/$424$/$849/mo (yearly plan)",$0.62/$0.55/$0.53/$0.5 per 1M extra API credits,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""80M/450M/950M/2B API credits"",""10/20/50 endpoints"",""50/125/250/500 reqs/sec""]","[""DDoS Protection"",""IP Protection"",""Privacy preserving"",""SAML SSO""]","[""Usage analytics"",""Custom dashboards"",""Alerts & endpoints monitoring"",""Advanced analytics""]","[""Global""]",
quicknode-dedicated-recent-state,Quicknode,"[""[Buy](https://www.quicknode.com/)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",Dedicated,Recent-State,Custom,Custom,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""custom limits""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",
radiumblock-enterprise-recent-state,RadiumBlock,"[""[Contact](https://radiumblock.com/contact.html)""]",Enterprise,Recent-State,Custom,Custom,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""Decentralized RPC endpoints"",""Multi-chain support""]","[""rate limiting applies""]",,"[""Advanced encryption protocols"",""Continuous monitoring"",""Automated failover mechanisms""]","[""Global""]",
