slug,provider,actionButtons,plan,nodeType,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,address
chainstack-pay-as-you-go-full-archive,ChainStack,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/)""]",Pay-as-you-go,Full Archive,"$49/$199/$349/mo (monthly plan), $40/$166/$290/mo (yearly plan)",$15/$12.5/$10 per 1M extra requests,NULL,NULL,NULL,99.90%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""250/400/600 RPS"",""20M/80M/140M requests"",""10,15,20 nodes""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Custom monitoring"", ""Engineering team support""]","[""Global""]",
chainstack-enterprise-full-archive,ChainStack,"[""[Contact](https://console.chainstack.com/user/account#signup?plan=enterprise)"",""[Docs](https://docs.chainstack.com/docs/)""]",Enterprise,Full Archive,"up to $990/mo (monthly plan), up to $825/mo (yearly plan)",$5/1M extra requests,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,TRUE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""400M requests""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Advanced analytics"",""Custom monitoring""]","[""Global""]",
drpc-free-recent-state,dRPC,"[""[Website](https://drpc.org/)"",""[Docs](https://drpc.org/docs)""]",Free,Recent-State,$0,$0,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""100 req/s, free 210M CUs/mo""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",
drpc-pay-as-you-go-recent-state,dRPC,"[""[Buy](https://drpc.org/pricing)"",""[Docs](https://drpc.org/docs)""]",Pay-as-you-go,Recent-State,$0,$6/1M requests,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""5K req/s, 20M CUs""]","[""DDoS Protection"", ""IP Protection"", ""Domain name protection"", ""Custom rate limiting"", ""Method Limiting"", ""Error tracing"", ""Contract addresses protection""]","[""per-method analytics"", ""latency"", ""CU analytics""]","[""Global""]",
drpc-enterprise-recent-state,dRPC,"[""[Contact](https://drpc.org/pricing)"",""[Docs](https://drpc.org/docs)""]",Enterprise,Recent-State,Custom,Custom,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""Unlimited RPS, up to 300M reqs/mo""]","[""DDoS Protection"", ""IP Protection"", ""Domain name protection"", ""Custom rate limiting"", ""Method Limiting"", ""Error tracing"", ""Contract addresses protection""]","[""per-method analytics"", ""latency"", ""CU analytics""]","[""Global""]",
drpc-free-full-archive,dRPC,"[""[Website](https://drpc.org/)"",""[Docs](https://drpc.org/docs)""]",Free,Full Archive,$0,$0,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""100 req/s, free 210M CUs/mo""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",
drpc-pay-as-you-go-full-archive,dRPC,"[""[Buy](https://drpc.org/pricing)"",""[Docs](https://drpc.org/docs)""]",Pay-as-you-go,Full Archive,$0,$6/1M requests,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""5K req/s, 20M CUs""]","[""DDoS Protection"", ""IP Protection"", ""Domain name protection"", ""Custom rate limiting"", ""Method Limiting"", ""Error tracing"", ""Contract addresses protection""]","[""per-method analytics"", ""latency"", ""CU analytics""]","[""Global""]",
drpc-enterprise-full-archive,dRPC,"[""[Contact](https://drpc.org/pricing)"",""[Docs](https://drpc.org/docs)""]",Enterprise,Full Archive,Custom,Custom,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""Unlimited RPS, up to 300M reqs/mo""]","[""DDoS Protection"", ""IP Protection"", ""Domain name protection"", ""Custom rate limiting"", ""Method Limiting"", ""Error tracing"", ""Contract addresses protection""]","[""per-method analytics"", ""latency"", ""CU analytics""]","[""Global""]",
dwellir-dedicated-full-archive,Dwellir,"[""[Contact](https://www.dwellir.com/contact)"",""[Docs](https://www.dwellir.com/docs/)""]",Dedicated,Full Archive,Custom,Custom,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""trace"",""debug""]",,"[""HTTPS and WebSocket protocols with strict authentication controls such as API key rotation, IP allow lists, and JWT-based authentication to prevent unauthorized access"",""Bare metal servers""]",,"[""Global""]",
dwellir-dedicated-recent-state,Dwellir,"[""[Contact](https://www.dwellir.com/contact)"",""[Docs](https://www.dwellir.com/docs/)""]",Dedicated,Recent-State,Custom,Custom,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""trace"",""debug""]",,"[""HTTPS and WebSocket protocols with strict authentication controls such as API key rotation, IP allow lists, and JWT-based authentication to prevent unauthorized access"",""Bare metal servers""]",,"[""Global""]",
dwellir-free-full-archive,Dwellir,"[""[Website](https://www.dwellir.com/)"",""[Docs](https://www.dwellir.com/docs/)""]",Free,Full Archive,$5 (once),$0,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""trace"",""debug""]","[""20 responses/sec"",""500K daily response limit"",""1 API Key""]","[""HTTPS and WebSocket protocols with strict authentication controls such as API key rotation, IP allow lists, and JWT-based authentication to prevent unauthorized access"",""Bare metal servers""]",,"[""Global""]",
dwellir-pay-as-you-go-full-archive,Dwellir,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/)""]",Pay-as-you-go,Full Archive,$49/$299/$999,$5/$3/$2/1M requests,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""trace"",""debug""]","[""100/500/2K responses/sec"",""500/2500/10K responses/sec(burst)"",""unlimited daily response"",""10/15/20 API Keys""]","[""HTTPS and WebSocket protocols with strict authentication controls such as API key rotation, IP allow lists, and JWT-based authentication to prevent unauthorized access"",""Bare metal servers""]",,"[""Global""]",
dwellir-enterprise-full-archive,Dwellir,"[""[Contact](https://www.dwellir.com/contact)"",""[Docs](https://www.dwellir.com/docs/)""]",Enterprise,Full Archive,Custom,Custom,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""trace"",""debug""]","[""custom limits""]","[""HTTPS and WebSocket protocols with strict authentication controls such as API key rotation, IP allow lists, and JWT-based authentication to prevent unauthorized access"",""Bare metal servers""]",,"[""Global""]",
dwellir-free-recent-state,Dwellir,"[""[Website](https://www.dwellir.com/)"",""[Docs](https://www.dwellir.com/docs/)""]",Free,Recent-State,$5 (once),$0,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""trace"",""debug""]","[""20 responses/sec"",""500K daily response limit"",""1 API Key""]","[""HTTPS and WebSocket protocols with strict authentication controls such as API key rotation, IP allow lists, and JWT-based authentication to prevent unauthorized access"",""Bare metal servers""]",,"[""Global""]",
dwellir-pay-as-you-go-recent-state,Dwellir,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/)""]",Pay-as-you-go,Recent-State,$49/$299/$999,$5/$3/$2/1M requests,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""trace"",""debug""]","[""100/500/2K responses/sec"",""500/2500/10K responses/sec(burst)"",""unlimited daily response"",""10/15/20 API Keys""]","[""HTTPS and WebSocket protocols with strict authentication controls such as API key rotation, IP allow lists, and JWT-based authentication to prevent unauthorized access"",""Bare metal servers""]",,"[""Global""]",
dwellir-enterprise-recent-state,Dwellir,"[""[Contact](https://www.dwellir.com/contact)"",""[Docs](https://www.dwellir.com/docs/)""]",Enterprise,Recent-State,Custom,Custom,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""trace"",""debug""]","[""custom limits""]","[""HTTPS and WebSocket protocols with strict authentication controls such as API key rotation, IP allow lists, and JWT-based authentication to prevent unauthorized access"",""Bare metal servers""]",,"[""Global""]",
infura-free-full-archive,Infura,"[""[Website](https://www.infura.io/)"",""[Docs](https://docs.metamask.io/services)""]",Free,Full Archive,$0,$0,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""3M credits/day with throughput 500 credits/sec"",""1 API Key""]","[""Enterprise-grade security""]","[""Usage analytics"",""Credit-based monitoring""]","[""Global""]",
