slug,provider,actionButtons,plan,nodeType,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,address
nodely-testnet-free-archive,Nodely,"[""[Website](https://nodely.io/)"",""[Docs](https://nodely.io/docs/free/start/)""]",Free,Full Archive,testnet,$0,,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""Algod API"",""Indexer API"",""KMD API"",""Smart Contract (ASC1) API""]","[""Up to 1K req/sec/project"",""150GB req/mo"",""60 req/sec/IP"",""50 transactions/sec/project"",""18 transactions/sec/IP""]","[""Secure API keys"",""IPFS GW""]","[""Real time monitoring dashboard""]","[""Global""]",
nodely-testnet-pay-as-you-go-archive,Nodely,"[""[Buy](https://nodely.io/pricing)"",""[Docs](https://nodely.io/docs/free/start/)""]",Pay-as-you-go,Full Archive,testnet,$256,,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""Algod API"",""Indexer API"",""KMD API"",""Smart Contract (ASC1) API""]","[""6K req/sec/key/site"",""2TB req/mo"",""500 req/sec/IP"",""6K transactions/sec/project"",""500 transactions/sec/IP""]","[""Secure API keys"",""IPFS GW""]","[""Real time monitoring dashboard""]","[""Global""]",
nodely-testnet-enteprise-archive,Nodely,"[""[Contact](https://nodely.io/contact)"",""[Docs](https://nodely.io/docs/free/start/)""]",Enterprise,Full Archive,testnet,$1024/region,,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""Algod API"",""Indexer API"",""KMD API"",""Smart Contract (ASC1) API""]","[""3K req/sec/region"",""Unlimited quota"",""900 req/sec/IP"",""3K transactions/sec/project"",""900 transactions/sec/IP""]","[""Secure API keys"",""IPFS GW""]","[""180 day log analytics""]","[""Global""]",
nownodes-mainnet-free,!provider:nownodes-free-recent-state,"[""[Website](https://nownodes.io/nodes/algorand-algo)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,mainnet,,,,,,,,,,,,,,,,
nownodes-mainnet-pay-as-you-go,!provider:nownodes-pay-as-you-go-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,mainnet,,,,,,,,,,,,,,,,
nownodes-mainnet-enterprise,!provider:nownodes-enterprise-recent-state,"[""[Contact](https://account.nownodes.io/auth/login)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,mainnet,,,,,,,,,,,,,,,,
nownodes-mainnet-dedicated,!provider:nownodes-dedicated-recent-state,"[""[Contact](https://account.nownodes.io/auth/login)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,mainnet,,,,,,,,,,,,,,,,
nownodes-testnet-free,!provider:nownodes-free-recent-state,"[""[Website](https://nownodes.io/nodes/algorand-algo)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,testnet,,,,,,,,,,,,,,,,
nownodes-testnet-pay-as-you-go,!provider:nownodes-pay-as-you-go-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,testnet,,,,,,,,,,,,,,,,
nownodes-testnet-enterprise,!provider:nownodes-enterprise-recent-state,"[""[Contact](https://account.nownodes.io/auth/login)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,testnet,,,,,,,,,,,,,,,,
nownodes-testnet-dedicated,!provider:nownodes-dedicated-recent-state,"[""[Contact](https://account.nownodes.io/auth/login)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,testnet,,,,,,,,,,,,,,,,
tatum-mainnet-free,!provider:tatum-free-recent-state,"[""[Website](https://tatum.io/chain/algorand)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,mainnet,,,,,,,,,,,,,,,,
tatum-mainnet-pay-as-you-go,!provider:tatum-pay-as-you-go-recent-state,"[""[Buy](https://tatum.io/chain/algorand)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,mainnet,,,,,,,,,,,,,,,,
tatum-mainnet-enterprise,!provider:tatum-enterprise-recent-state,"[""[Contact](https://tatum.io/get-in-touch)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,mainnet,,,,,,,,,,,,,,,,
tatum-mainnet-pay-as-you-go-archive,!provider:tatum-pay-as-you-go-full-archive,"[""[Buy](https://tatum.io/chain/algorand)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,mainnet,,,,,,,,,,,,,,,,
tatum-mainnet-enterprise-archive,!provider:tatum-enterprise-full-archive,"[""[Contact](https://tatum.io/get-in-touch)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,mainnet,,,,,,,,,,,,,,,,
tatum-testnet-free,!provider:tatum-free-recent-state,"[""[Website](https://tatum.io/chain/algorand)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,testnet,,,,,,,,,,,,,,,,
tatum-testnet-pay-as-you-go,!provider:tatum-pay-as-you-go-recent-state,"[""[Buy](https://tatum.io/chain/algorand)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,testnet,,,,,,,,,,,,,,,,
tatum-testnet-enterprise,!provider:tatum-enterprise-recent-state,"[""[Contact](https://tatum.io/get-in-touch)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,testnet,,,,,,,,,,,,,,,,
tatum-testnet-pay-as-you-go-archive,!provider:tatum-pay-as-you-go-full-archive,"[""[Buy](https://tatum.io/chain/algorand)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,testnet,,,,,,,,,,,,,,,,
tatum-testnet-enterprise-archive,!provider:tatum-enterprise-full-archive,"[""[Contact](https://tatum.io/get-in-touch)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,testnet,,,,,,,,,,,,,,,,
